refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
408,W07000069,Neath,0.542076298,NA,0.542076298,,Wales,#VALUE!,
516,E14000931,Solihull,0.5427861592,NA,0.5427861592,,West Midlands,#VALUE!,
242,E14000696,Erith and Thamesmead,0.5432728958,NA,0.5432728958,,London,#VALUE!,
547,E14000624,Central Suffolk and North Ipswich,0.5448855513,NA,0.5448855513,,East of England,#VALUE!,
289,E14000857,North West Hampshire,0.5452543174,NA,0.5452543174,,South East,#VALUE!,
112,E14000612,Bury South,0.5452602877,NA,0.5452602877,,North West,#VALUE!,
551,E14000982,Sunderland Central,0.5465294665,NA,0.5465294665,,North East,#VALUE!,
472,E14000895,Richmond (Yorks),0.5469912898,NA,0.5469912898,,Yorkshire and The Humber,#VALUE!,
179,W07000042,Delyn,0.5477104,NA,0.5477104,,Wales,#VALUE!,
79,E14000581,Bootle,0.5487643903,NA,0.5487643903,,North West,#VALUE!,
349,E14001033,West Lancashire,0.5493803945,NA,0.5493803945,,North West,#VALUE!,
163,E14000938,South East Cornwall,0.5494650187,NA,0.5494650187,,South West,#VALUE!,
355,E14000781,Leeds West,0.5497702885,NA,0.5497702885,,Yorkshire and The Humber,#VALUE!,
216,E14000856,North West Durham,0.5498292758,NA,0.5498292758,,North East,#VALUE!,
494,E14000964,St Ives,0.5512600721,NA,0.5512600721,,South West,#VALUE!,
114,W07000076,Caerphilly,0.5515760503,NA,0.5515760503,,Wales,#VALUE!,
302,E14000739,Hemel Hempstead,0.5516880434,NA,0.5516880434,,East of England,#VALUE!,
191,E14000950,South West Devon,0.5522960826,NA,0.5522960826,,South West,#VALUE!,
105,E14000605,Bromsgrove,0.5536512794,0.5536512794,0.5536512794,,West Midlands,0,
132,W07000066,Carmarthen West and South Pembrokeshire,0.5536619483,NA,0.5536619483,,Wales,#VALUE!,
449,E14000877,Penrith and The Border,0.5536686158,NA,0.5536686158,,North West,#VALUE!,
246,E14000699,Fareham,0.554141921,NA,0.554141921,,South East,#VALUE!,
381,E14000801,Luton South,0.5544462729,NA,0.5544462729,,East of England,#VALUE!,
375,W07000045,Llanelli,0.5548355511,NA,0.5548355511,,Wales,#VALUE!,
284,E14000724,Haltemprice and Howden,0.5549736439,NA,0.5549736439,,Yorkshire and The Humber,#VALUE!,
78,E14000580,Bolton West,0.5553871533,NA,0.5553871533,,North West,#VALUE!,
50,E14000554,Berwick-upon-Tweed,0.5555173308,NA,0.5555173308,,North East,#VALUE!,
411,E14000829,Newark,0.5575331126,NA,0.5575331126,,East Midlands,#VALUE!,
459,W07000065,Preseli Pembrokeshire,0.5576907309,NA,0.5576907309,,Wales,#VALUE!,
548,E14000981,Suffolk Coastal,0.5581571415,NA,0.5581571415,,East of England,#VALUE!,
384,E14000804,Maidstone and The Weald,0.5586830462,NA,0.5586830462,,South East,#VALUE!,
410,E14000828,New Forest West,0.5587861576,NA,0.5587861576,,South East,#VALUE!,
588,W07000060,Vale of Clwyd,0.559417007,NA,0.559417007,,Wales,#VALUE!,
402,W07000063,Montgomeryshire,0.5598584868,NA,0.5598584868,,Wales,#VALUE!,
442,E14000872,Orpington,0.559974796,NA,0.559974796,,London,#VALUE!,
259,E14000709,Gateshead,0.5604693175,NA,0.5604693175,,North East,#VALUE!,
420,E14000835,Newton Abbot,0.56101102,NA,0.56101102,,South West,#VALUE!,
493,E14000963,St Helens South and Whiston,0.5611943015,NA,0.5611943015,,North West,#VALUE!,
639,E14001055,Worthing West,0.561226606,NA,0.561226606,,South East,#VALUE!,
596,E14001014,Wansbeck,0.5619074863,NA,0.5619074863,,North East,#VALUE!,
260,E14000710,Gedling,0.5619792121,NA,0.5619792121,,East Midlands,#VALUE!,
298,E14000735,Hastings and Rye,0.5622823314,NA,0.5622823314,,South East,#VALUE!,
133,E14000621,Carshalton and Wallington,0.5630242446,NA,0.5630242446,,London,#VALUE!,
72,E14000574,Blaydon,0.5631875632,NA,0.5631875632,,North East,#VALUE!,
587,E14001007,Uxbridge and South Ruislip,0.5635574865,NA,0.5635574865,,London,#VALUE!,
235,E14000689,Elmet and Rothwell,0.5635934444,NA,0.5635934444,,Yorkshire and The Humber,#VALUE!,
198,E14000839,North Dorset,0.5641147657,NA,0.5641147657,,South West,#VALUE!,
569,E14000993,Thirsk and Malton,0.5642595163,NA,0.5642595163,,Yorkshire and The Humber,#VALUE!,
67,E14000570,Blackburn,0.5643112214,NA,0.5643112214,,North West,#VALUE!,
256,E14000706,Fylde,0.5655708102,NA,0.5655708102,,North West,#VALUE!,
332,E14000761,Ipswich,0.5656765982,NA,0.5656765982,,East of England,#VALUE!,
149,E14000637,Chorley,0.565742818,NA,0.565742818,,North West,#VALUE!,
617,E14001038,Weston-Super-Mare,0.5666096718,NA,0.5666096718,,South West,#VALUE!,
31,E14000543,Barrow and Furness,0.5678741119,NA,0.5678741119,,North West,#VALUE!,
344,E14000774,Kingswood,0.56835363,NA,0.56835363,,South West,#VALUE!,
460,E14000885,Preston,0.5685128315,NA,0.5685128315,,North West,#VALUE!,
521,E14000943,South Ribble,0.5685420467,NA,0.5685420467,,North West,#VALUE!,
455,E14000881,Poole,0.5694324444,NA,0.5694324444,,South West,#VALUE!,
121,E14000855,North West Cambridgeshire,0.569533401,NA,0.569533401,,East of England,#VALUE!,
174,W07000070,Cynon Valley,0.5696266259,NA,0.5696266259,,Wales,#VALUE!,
190,E14000838,North Devon,0.5703847943,0.5703847943,0.5703847943,,South West,0,
192,E14001000,Torridge and West Devon,0.5707446545,NA,0.5707446545,,South West,#VALUE!,
532,E14000968,Stevenage,0.5712019136,NA,0.5712019136,,East of England,#VALUE!,
416,E14000833,Newcastle upon Tyne North,0.5714743293,NA,0.5714743293,,North East,#VALUE!,
528,E14000965,Stafford,0.5721842569,NA,0.5721842569,,West Midlands,#VALUE!,
525,E14000957,Southend West,0.5724629842,NA,0.5724629842,,East of England,#VALUE!,
193,E14000666,Dewsbury,0.5726844715,NA,0.5726844715,,Yorkshire and The Humber,#VALUE!,
439,E14000870,Oldham East and Saddleworth,0.5730842353,NA,0.5730842353,,North West,#VALUE!,
368,E14000792,Lincoln,0.5731151012,NA,0.5731151012,,East Midlands,#VALUE!,
430,E14000863,Norwich North,0.573218222,NA,0.573218222,,East of England,#VALUE!,
641,W07000044,Wrexham,0.5733141838,NA,0.5733141838,,Wales,#VALUE!,
560,E14000851,North Swindon,0.5744267235,NA,0.5744267235,,South West,#VALUE!,
58,E14000561,"Birmingham, Erdington",0.5752276967,NA,0.5752276967,,West Midlands,#VALUE!,
62,E14000565,"Birmingham, Northfield",0.575496397,NA,0.575496397,,West Midlands,#VALUE!,
367,E14000791,Lichfield,0.5757439131,NA,0.5757439131,,West Midlands,#VALUE!,
60,E14000563,"Birmingham, Hodge Hill",0.575881462,NA,0.575881462,,West Midlands,#VALUE!,
506,E14000923,"Sheffield, Heeley",0.5760591914,NA,0.5760591914,,Yorkshire and The Humber,#VALUE!,
225,E14000684,Eastbourne,0.5762499801,NA,0.5762499801,,South East,#VALUE!,
572,E14000996,Tiverton and Honiton,0.5762505819,NA,0.5762505819,,South West,#VALUE!,
54,E14000557,Bexhill and Battle,0.5767643982,NA,0.5767643982,,South East,#VALUE!,
474,E14000897,Rochdale,0.5768475009,NA,0.5768475009,,North West,#VALUE!,
620,E14000954,South West Wiltshire,0.5768707336,NA,0.5768707336,,South West,#VALUE!,
10,W07000043,Alyn and Deeside,0.5774788291,NA,0.5774788291,,Wales,#VALUE!,
234,E14000688,Ellesmere Port and Neston,0.5776683508,NA,0.5776683508,,North West,#VALUE!,
76,E14000578,Bolton North East,0.5776723522,NA,0.5776723522,,North West,#VALUE!,
501,E14000917,Selby and Ainsty,0.5778823154,NA,0.5778823154,,Yorkshire and The Humber,#VALUE!,
536,E14000971,Stockton South,0.5780350318,NA,0.5780350318,,North East,#VALUE!,
285,E14000725,Halton,0.5782347297,NA,0.5782347297,,North West,#VALUE!,
85,E14000587,Bradford East,0.5785856995,NA,0.5785856995,,Yorkshire and The Humber,#VALUE!,
83,E14000585,Bournemouth West,0.5789926072,NA,0.5789926072,,South West,#VALUE!,
118,E14000616,Camborne and Redruth,0.5791059617,NA,0.5791059617,,South West,#VALUE!,
197,E14000815,Mid Dorset and North Poole,0.5792701099,NA,0.5792701099,,South West,#VALUE!,
540,E14000975,Stone,0.5804241671,NA,0.5804241671,,West Midlands,#VALUE!,
254,E14000705,Forest of Dean,0.5806625702,NA,0.5806625702,,South West,#VALUE!,
176,E14000658,Darlington,0.5806846735,NA,0.5806846735,,North East,#VALUE!,
392,E14000812,Meriden,0.5808594959,NA,0.5808594959,,West Midlands,#VALUE!,
380,E14000800,Luton North,0.5821161422,NA,0.5821161422,,East of England,#VALUE!,
360,E14000940,South Leicestershire,0.5821654142,NA,0.5821654142,,East Midlands,#VALUE!,
247,E14000700,Faversham and Mid Kent,0.5822255926,NA,0.5822255926,,South East,#VALUE!,
7,E14000530,Aldershot,0.582306762,NA,0.582306762,,South East,#VALUE!,
640,E14000992,The Wrekin,0.5824790771,NA,0.5824790771,,West Midlands,#VALUE!,
307,E14000847,North Herefordshire,0.5825016186,NA,0.5825016186,,West Midlands,#VALUE!,
422,E14000848,North Norfolk,0.5825388155,NA,0.5825388155,,East of England,#VALUE!,
492,E14000962,St Helens North,0.582912107,NA,0.582912107,,North West,#VALUE!,
136,E14000625,Charnwood,0.5829449052,NA,0.5829449052,,East Midlands,#VALUE!,
483,E14000905,Rugby,0.5836766023,NA,0.5836766023,,West Midlands,#VALUE!,
393,W07000071,Merthyr Tydfil and Rhymney,0.5840374391,NA,0.5840374391,,Wales,#VALUE!,
168,E14000652,Crawley,0.584136714,0.584136714,0.584136714,,South East,0,
531,E14000967,Stalybridge and Hyde,0.5852177268,NA,0.5852177268,,North West,#VALUE!,
379,E14000799,Ludlow,0.5858418541,NA,0.5858418541,,West Midlands,#VALUE!,
480,E14000902,Rossendale and Darwen,0.5859130289,NA,0.5859130289,,North West,#VALUE!,
44,E14000949,South West Bedfordshire,0.5861080917,NA,0.5861080917,,East of England,#VALUE!,
270,E14000712,Gloucester,0.5861326181,NA,0.5861326181,,South West,#VALUE!,
599,E14001017,Warrington North,0.5864758174,NA,0.5864758174,,North West,#VALUE!,
166,E14000650,Coventry North West,0.5867347043,NA,0.5867347043,,West Midlands,#VALUE!,
471,E14000894,Ribble Valley,0.5868051438,NA,0.5868051438,,North West,#VALUE!,
178,E14000660,Daventry,0.5875854112,NA,0.5875854112,,East Midlands,#VALUE!,
53,E14000556,Beverley and Holderness,0.5878960886,NA,0.5878960886,,Yorkshire and The Humber,#VALUE!,
336,W07000077,Islwyn,0.5886667507,NA,0.5886667507,,Wales,#VALUE!,
404,E14000825,Morecambe and Lunesdale,0.5891294279,NA,0.5891294279,,North West,#VALUE!,
634,E14000818,Mid Worcestershire,0.5894371379,NA,0.5894371379,,West Midlands,#VALUE!,
499,E14000915,Sedgefield,0.5894880672,NA,0.5894880672,,North East,#VALUE!,
169,E14000653,Crewe and Nantwich,0.5900216001,NA,0.5900216001,,North West,#VALUE!,
165,E14000649,Coventry North East,0.5922586701,NA,0.5922586701,,West Midlands,#VALUE!,
646,E14001060,Yeovil,0.5929247335,NA,0.5929247335,,South West,#VALUE!,
144,E14000632,Chesterfield,0.593187532,NA,0.593187532,,East Midlands,#VALUE!,
583,E14000853,North Tyneside,0.5936533258,NA,0.5936533258,,North East,#VALUE!,
300,E14000737,Hayes and Harlington,0.5940544594,NA,0.5940544594,,London,#VALUE!,
248,E14000701,Feltham and Heston,0.5943219614,NA,0.5943219614,,London,#VALUE!,
511,E14000849,North Shropshire,0.5945746021,NA,0.5945746021,,West Midlands,#VALUE!,
199,E14000936,South Dorset,0.5949281068,NA,0.5949281068,,South West,#VALUE!,
409,E14000827,New Forest East,0.5954240312,NA,0.5954240312,,South East,#VALUE!,
428,E14000862,Northampton South,0.5961124246,NA,0.5961124246,,East Midlands,#VALUE!,
20,E14000536,Ashford,0.596788819,NA,0.596788819,,South East,#VALUE!,
437,W07000074,Ogmore,0.5975247001,NA,0.5975247001,,Wales,#VALUE!,
405,E14000826,Morley and Outwood,0.5978587835,NA,0.5978587835,,Yorkshire and The Humber,#VALUE!,
160,E14000647,Copeland,0.5984604808,NA,0.5984604808,,North West,#VALUE!,
150,E14000638,Christchurch,0.5987484443,NA,0.5987484443,,South West,#VALUE!,
